firm,domain,region,owner,firm_type,tier_target,status,priority,relationship,notes,contact_status,has_known_contact,contact_needs_refresh,relationship_record_id,relationship_tier,relationship_status,relationship_contact_name,relationship_contact_email,relationship_expiration,relationship_decline_reason,relationship_crm_source
General Atlantic,generalatlantic.com,US,jamari,Growth Equity,Diamond,New Lead,1,prospect,Tier 1 anchor,cold_prospect,FALSE,FALSE,,,,,,,,
Summit Partners,summitpartners.com,US,jamari,Growth Equity,Gold,New Lead,2,prospect,Accessible recruiting team,cold_prospect,FALSE,FALSE,,,,,,,,
TA Associates,ta.com,US,jamari,Growth Equity,Gold,New Lead,1,prospect,Warm via Brown alum Hythem El-Nazer,cold_prospect,TRUE,FALSE,,,,,,,,
Insight Partners,insightpartners.com,US,jamari,Growth Equity,Gold,New Lead,2,prospect,Tech-forward,cold_prospect,FALSE,FALSE,,,,,,,,
Ares Management,ares.com,US,jamari,Private Credit,Platinum,New Lead,1,prospect,Strong alternatives profile. aresmgmt.com returns 403,cold_prospect,FALSE,FALSE,,,,,,,,
Blue Owl Capital,blueowl.com,US,jamari,Private Credit,Gold,New Lead,2,prospect,Alternatives,cold_prospect,FALSE,FALSE,,,,,,,,
HPS Investment Partners,hpspartners.com,US,jamari,Private Credit,Gold,New Lead,2,prospect,Active campus presence,cold_prospect,FALSE,FALSE,,,,,,,,
Citadel,citadel.com,US,jamari,Multi-Strat HF,Diamond,New Lead,1,prospect,Bot-blocked; research manually,cold_prospect,FALSE,FALSE,,,,,,,,
Millennium Management,mlp.com,US,jamari,Multi-Strat HF,Diamond,New Lead,2,prospect,High bar,cold_prospect,FALSE,FALSE,,,,,,,,
Adams Street Partners,adamsstreetpartners.com,US,jamari,Private Markets,Silver,Inherited Warm Lead,2,prospect,Inherited from prior board,cold_prospect,TRUE,FALSE,,,,,,,,
Audax Group,audaxgroup.com,US,jamari,PE,Gold,Inherited Warm Lead,2,prospect,Inherited from prior board,cold_prospect,TRUE,FALSE,,,,,,,,
Bentall GreenOak,bentallgreenoak.com,US,jamari,Real Estate,Silver,Inherited Warm Lead,3,prospect,Inherited from prior board,cold_prospect,TRUE,FALSE,,,,,,,,
Capstone Investment Advisors,capstoneco.com,US,jamari,Options HF,Silver,Inherited Warm Lead,3,prospect,Inherited from prior board,cold_prospect,TRUE,FALSE,,,,,,,,
Balyasny Asset Management,bamfunds.com,US,jamari,Multi-Strat HF,Diamond,New Lead,1,prospect,Multi-strat; active undergrad campus program. NB bam.com is Royal BAM Group,cold_prospect,FALSE,FALSE,,,,,,,,
Point72 Asset Management,point72.com,US,jamari,Multi-Strat HF,Diamond,New Lead,1,prospect,Former Diamond sponsor; win-back,lapsed_partner,TRUE,FALSE,,Diamond,Not Renewing,Kelli & Holly,Kelli.Dougherty@point72.com,2025-12-31,Budget cuts; cannot re-sponsor.,Archive!r11
Coatue Management,coatue.com,US,jamari,Growth Equity,Gold,New Lead,2,prospect,Tech-forward crossover investor,cold_prospect,FALSE,FALSE,,,,,,,,
The Jordan Company,thejordancompany.com,US,jamari,PE (Middle Market),Silver,New Lead,3,prospect,Middle-market PE NY,cold_prospect,FALSE,FALSE,,,,,,,,
Alger,alger.com,US,fola,Asset Management,Silver,Inherited Warm Lead,3,prospect,Inherited from prior board,cold_prospect,TRUE,FALSE,,,,,,,,
ClearBridge Investments,clearbridge.com,US,fola,Asset Management,Silver,Inherited Warm Lead,3,prospect,Inherited from prior board,cold_prospect,FALSE,FALSE,,,,,,,,
Makena Capital Management,makenacapital.com,US,fola,Endowment,Silver,Inherited Warm Lead,3,prospect,Inherited from prior board,cold_prospect,FALSE,FALSE,,,,,,,,
Mondrian Investment Partners,mondrian.com,EMEA,fola,Asset Management,Silver,Inherited Warm Lead,3,prospect,Inherited from prior board,cold_prospect,FALSE,FALSE,,,,,,,,
Houlihan Lokey,hl.com,US,fola,IB,Gold,Inherited Warm Lead,2,prospect,Inherited via Roark. Bot-blocked; research manually,cold_prospect,TRUE,FALSE,,,,,,,,
Lincoln International,lincolninternational.com,US,fola,IB,Gold,Inherited Warm Lead,2,prospect,Inherited via Roark,cold_prospect,TRUE,FALSE,,,,,,,,
Piper Sandler,pipersandler.com,US,fola,IB,Gold,Inherited Warm Lead,2,prospect,Inherited via Roark,cold_prospect,TRUE,FALSE,,,,,,,,
The Raine Group,raine.com,US,fola,IB,Silver,New Lead,3,prospect,Media entertainment sports tech,cold_prospect,FALSE,FALSE,,,,,,,,
TD Bank,td.com,EMEA,fola,IB,Gold,1st Call,2,prospect,EMEA and US,cold_prospect,FALSE,FALSE,,,,,,,,
Sixth Street,sixthstreet.com,US,jamari,Private Credit,Gold,Active,1,existing,S048 current partner; do not send the cold template,existing_partner,TRUE,FALSE,S048,Gold,Active,"Maddy, Skylar, Madeleine",mlivingston@sixthstreet.com; sburdick@sixthstreet.com; mparker@sixthstreet.com,2026-09-08,,Jamari!r21
Advent International,adventinternational.com,US,jamari,PE,Platinum,Active,1,existing,S001 current partner; do not send the cold template,existing_partner,TRUE,FALSE,S001,Platinum,Active,Kirsten,KGute@adventinternational.com,2027-01-20,,Jamari!r13
